Player,Position,Team,Salary
Stephen Curry,PG,Golden State Warriors,34.38255
LeBron James,SF,Cleveland Cavaliers,33.285709
Paul Millsap,PF,Denver Nuggets,31.269231
Blake Griffin,PF,Detroit Pistons,29.7279
Gordon Hayward,SF,Boston Celtics,29.7279
Kyle Lowry,PG,Toronto Raptors,28.703704
Mike Conley,PG,Memphis Grizzlies,28.530608
Russell Westbrook,PG,Oklahoma City Thunder,28.530608
James Harden,PG,Houston Rockets,28.299399
DeMar DeRozan,SG,Toronto Raptors,27.739975
Al Horford,PF,Boston Celtics,27.734406
Carmelo Anthony,PF,Oklahoma City Thunder,26.24376
Damian Lillard,PG,Portland Trail Blazers,26.153057
Jrue Holiday,PG,New Orleans Pelicans,25.686667
Kevin Durant,SF,Golden State Warriors,25
Otto Porter Jr.,SF,Washington Wizards,24.77325
Chris Paul,PG,Houston Rockets,24.599495
CJ McCollum,SG,Portland Trail Blazers,23.962573
Andre Drummond,C,Detroit Pistons,23.775506
Bradley Beal,SG,Washington Wizards,23.775506
Anthony Davis,PF,New Orleans Pelicans,23.775506
Dwight Howard,C,Charlotte Hornets,23.5
Chandler Parsons,SF,Memphis Grizzlies,23.112004
Harrison Barnes,SF,Dallas Mavericks,23.112004
JJ Redick,SG,Philadelphia 76ers,23
Brook Lopez,C,Los Angeles Lakers,22.64265
Marc Gasol,C,Memphis Grizzlies,22.64235
DeAndre Jordan,C,LA Clippers,22.64235
Kevin Love,C,Cleveland Cavaliers,22.64235
Steven Adams,C,Oklahoma City Thunder,22.47191
Giannis Antetokounmpo,PF,Milwaukee Bucks,22.47191
Nicolas Batum,SG,Charlotte Hornets,22.434783
Rudy Gobert,C,Utah Jazz,21.924719
LaMarcus Aldridge,PF,San Antonio Spurs,21.46101
Victor Oladipo,SG,Indiana Pacers,21
Danilo Gallinari,SF,LA Clippers,20.559599
Serge Ibaka,PF,Toronto Raptors,20.061729
George Hill,PG,Cleveland Cavaliers,20
Ryan Anderson,PF,Houston Rockets,19.578455
Paul George,SF,Oklahoma City Thunder,19.508958
Allen Crabbe,SG,Brooklyn Nets,19.3325
Jimmy Butler,SG,Minnesota Timberwolves,19.30107
Jeff Teague,PG,Minnesota Timberwolves,19
Kawhi Leonard,SF,San Antonio Spurs,18.868626
Kyrie Irving,PG,Boston Celtics,18.868626
John Wall,PG,Washington Wizards,18.06385
DeMarcus Cousins,C,New Orleans Pelicans,18.06385
Enes Kanter,C,New York Knicks,17.884176
Wesley Matthews,SG,Dallas Mavericks,17.884176
Klay Thompson,SG,Golden State Warriors,17.82615
Joakim Noah,C,New York Knicks,17.765
Kentavious Caldwell-Pope,SG,Los Angeles Lakers,17.745894
Luol Deng,SF,Los Angeles Lakers,17.19
Evan Turner,SF,Portland Trail Blazers,17.131148
Goran Dragic,PG,Miami Heat,17.00045
Bismack Biyombo,C,Orlando Magic,17
Evan Fournier,SG,Orlando Magic,17
Kent Bazemore,SG,Atlanta Hawks,16.910113
Robert Covington,SF,Philadelphia 76ers,16.698103
Ian Mahinmi,C,Washington Wizards,16.661641
Tim Hardaway Jr.,SF,New York Knicks,16.5
Draymond Green,PF,Golden State Warriors,16.4
Tristan Thompson,C,Cleveland Cavaliers,16.4
Pau Gasol,C,San Antonio Spurs,16
Reggie Jackson,PG,Detroit Pistons,16
Dennis Schroder,PG,Atlanta Hawks,15.5
Jonas Valanciunas,C,Toronto Raptors,15.460675
Tony Parker,PG,San Antonio Spurs,15.453126
Timofey Mozgov,C,Brooklyn Nets,15.28
Thaddeus Young,PF,Indiana Pacers,14.996348
Andre Iguodala,SF,Golden State Warriors,14.814815
DeMarre Carroll,SF,Brooklyn Nets,14.8
Eric Bledsoe,PG,Phoenix Suns,14.5
Ricky Rubio,PG,Utah Jazz,14.275
Joe Ingles,SF,Utah Jazz,14.136364
Gorgui Dieng,C,Minnesota Timberwolves,14.11236
Khris Middleton,SF,Milwaukee Bucks,14.1
